Governo   Data       PibR      ipca  eipca Cambio
Lula      01/02/2010 6842578.1 4.83  4.66  1.8102
Lula      01/03/2010 6906511.8 5.17  4.70  1.7802
Lula      01/04/2010 6962987.0 5.26  4.86  1.7298
Lula      01/05/2010 7026376.4 5.22  4.88  1.8159
Lula      01/06/2010 7115501.2 4.84  4.74  1.8007
Lula      01/07/2010 7208429.6 4.60  4.82  1.7564
Lula      01/08/2010 7303969.1 4.49  4.98  1.7552
Lula      01/09/2010 7365127.6 4.70  5.31  1.6934
Lula      01/10/2010 7391814.1 5.20  5.42  1.7006
Lula      01/11/2010 7428595.5 5.64  5.61  1.7153
Lula      01/12/2010 7467786.0 5.91  5.52  1.6654
Dilma     01/01/2011 7488654.6 5.99  5.67  1.6726
Dilma     01/02/2011 7521808.0 6.01  5.61  1.6604
Dilma     01/03/2011 7534076.0 6.30  5.61  1.6279
Dilma     01/04/2011 7556497.7 6.51  5.60  1.5725
Dilma     01/05/2011 7618106.1 6.55  5.17  1.5791
Dilma     01/06/2011 7694164.7 6.71  5.02  1.5603
Dilma     01/07/2011 7752885.2 6.87  5.35  1.5555
Dilma     01/08/2011 7802532.6 7.23  5.47  1.5864
Dilma     01/09/2011 7822640.9 7.31  5.80  1.8536
Dilma     01/10/2011 7849008.4 6.97  5.56  1.6878
Dilma     01/11/2011 7868450.1 6.64  5.53  1.8102
Dilma     01/12/2011 7896944.9 6.50  5.35  1.8751
Dilma     01/01/2012 7918642.6 6.22  5.30  1.7385
Dilma     01/02/2012 7946053.0 5.85  5.26  1.7086
Dilma     01/03/2012 8002739.9 5.24  5.43  1.8215
Dilma     01/04/2012 8007221.9 5.10  5.57  1.8912
Dilma     01/05/2012 8037782.5 4.99  5.52  2.0217
Dilma     01/06/2012 8087016.7 4.92  5.38  2.0207
Dilma     01/07/2012 8125593.9 5.20  5.58  2.0494
Dilma     01/08/2012 8169125.3 5.24  5.68  2.0366
Dilma     01/09/2012 8179446.7 5.28  5.64  2.0300
Dilma     01/10/2012 8213807.3 5.45  5.47  2.0308
Dilma     01/11/2012 8225069.0 5.53  5.36  2.1068
Dilma     01/12/2012 8208703.5 5.84  5.63  2.0429
Dilma     01/01/2013 8214268.8 6.15  5.70  1.9877
Dilma     01/02/2013 8216641.2 6.31  5.50  1.9749
Dilma     01/03/2013 8239869.3 6.59  5.53  2.0132
Dilma     01/04/2013 8295634.4 6.49  5.56  2.0011
Dilma     01/05/2013 8330466.5 6.50  5.62  2.1314
Dilma     01/06/2013 8373913.6 6.70  5.74  2.2150
Dilma     01/07/2013 8443406.1 6.27  5.66  2.2897
Dilma     01/08/2013 8480933.1 6.09  6.06  2.3719
Dilma     01/09/2013 8525402.4 5.86  6.16  2.2294
Dilma     01/10/2013 8549452.9 5.84  6.25  2.2020
Dilma     01/11/2013 8574566.4 5.77  6.14  2.3243
Dilma     01/12/2013 8582596.7 5.91  6.11  2.3420
Dilma     01/01/2014 8606713.9 5.59  6.02  2.4257
Dilma     01/02/2014 8639010.7 5.68  6.17  2.3327
Dilma     01/03/2014 8627324.4 6.15  6.42  2.2624
Dilma     01/04/2014 8621891.1 6.28  6.22  2.2354
Dilma     01/05/2014 8644629.3 6.38  6.03  2.2384
Dilma     01/06/2014 8651437.1 6.52  6.01  2.2019
Dilma     01/07/2014 8703783.8 6.50  5.95  2.2668
Dilma     01/08/2014 8728495.8 6.51  6.15  2.2390
Dilma     01/09/2014 8746273.5 6.75  6.33  2.4504
Dilma     01/10/2014 8760724.7 6.59  6.41  2.4436
Dilma     01/11/2014 8759271.2 6.56  6.56  2.5595
Dilma     01/12/2014 8742508.2 6.41  6.73  2.6556
Dilma     01/01/2015 8667309.1 7.14  6.97  2.6617
Dilma     01/02/2015 8579263.9 7.70  6.88  2.8777
Dilma     01/03/2015 8523194.3 8.13  7.01  3.2074
Dilma     01/04/2015 8488192.7 8.17  6.17  2.9930
Dilma     01/05/2015 8441788.3 8.47  6.11  3.1781
Dilma     01/06/2015 8417246.6 8.89  6.38  3.1019
Dilma     01/07/2015 8394515.9 9.56  5.98  3.3934
Dilma     01/08/2015 8400752.9 9.53  5.66  3.6461
Dilma     01/09/2015 8366979.3 9.49  6.15  3.9722
Dilma     01/10/2015 8316073.5 9.93  6.72  3.8582
Dilma     01/11/2015 8253646.1 10.48 7.16  3.8499
Dilma     01/12/2015 8195764.0 10.67 7.19  3.9042
Dilma     01/01/2016 8103180.4 10.71 7.29  4.0422
Dilma     01/02/2016 8062477.5 10.36 7.01  3.9790
Dilma     01/03/2016 8044532.3 9.39  6.52  3.5583
Dilma     01/04/2016 8027059.4 9.28  6.21  3.4502
Dilma     01/05/2016 7996702.8 9.32  6.17  3.5945
Dilma     01/06/2016 8009676.4 8.84  6.01  3.2092
Dilma     01/07/2016 7987181.0 8.74  5.70  3.2384
Temer     01/08/2016 7990553.9 8.97  5.44  3.2397
Temer     01/09/2016 8016313.8 8.48  5.07  3.2456
Temer     01/10/2016 8019249.1 7.87  4.87  3.1805
Temer     01/11/2016 8046801.4 6.99  4.80  3.3961
Temer     01/12/2016 8062686.6 6.29  4.69  3.2585
Temer     01/01/2017 8072468.3 5.35  4.71  3.1264
Temer     01/02/2017 8072687.8 4.76  4.53  3.0987
Temer     01/03/2017 8094738.1 4.57  4.45  3.1678
Temer     01/04/2017 8104994.4 4.08  4.45  3.1978
Temer     01/05/2017 8123455.4 3.60  4.64  3.2431
Temer     01/06/2017 8168317.7 3.00  4.12  3.3076
Temer     01/07/2017 8182184.2 2.71  4.47  3.1301
Temer     01/08/2017 8198606.1 2.46  4.37  3.1465
Temer     01/09/2017 8210612.9 2.54  3.89  3.1674
Temer     01/10/2017 8212611.4 2.70  4.14  3.2763
Temer     01/11/2017 8224751.4 2.80  3.99  3.2610
Temer     01/12/2017 8226800.9 2.95  3.80  3.3074
Temer     01/01/2018 8251273.4 2.86  3.98  3.1618
Temer     01/02/2018 8260551.1 2.84  3.92  3.2443
Temer     01/03/2018 8288302.5 2.68  3.86  3.3232
Temer     01/04/2018 8331761.8 2.76  4.07  3.4805
Temer     01/05/2018 8312304.0 2.85  4.35  3.7364
Temer     01/06/2018 8259838.2 4.39  4.77  3.8552
Temer     01/07/2018 8285714.9 4.48  3.74  3.7543
Temer     01/08/2018 8345515.0 4.19  3.65  4.1347
Temer     01/09/2018 8344861.5 4.53  4.14  4.0033
Temer     01/10/2018 8360232.5 4.56  4.02  3.7171
Temer     01/11/2018 8418857.1 4.05  3.40  3.8627
Temer     01/12/2018 8433916.6 3.75  3.68  3.8742
Bolsonaro 01/01/2019 8439061.7 3.78  3.98  3.6513
Bolsonaro 01/02/2019 8447426.2 3.89  3.94  3.7379
Bolsonaro 01/03/2019 8400915.7 4.58  3.98  3.8961
Bolsonaro 01/04/2019 8385052.8 4.94  3.72  3.9447
Bolsonaro 01/05/2019 8438501.7 4.66  3.54  3.9401
Bolsonaro 01/06/2019 8453640.8 3.37  3.49  3.8316
Bolsonaro 01/07/2019 8484948.6 3.22  3.65  3.7643
Bolsonaro 01/08/2019 8511241.1 3.43  3.49  4.1379
Bolsonaro 01/09/2019 8564182.2 2.89  3.34  4.1638
Bolsonaro 01/10/2019 8599387.2 2.54  3.37  4.0035
Bolsonaro 01/11/2019 8589673.1 3.27  3.81  4.2234
Bolsonaro 01/12/2019 8499930.8 4.31  4.10  4.0301
Bolsonaro 01/01/2020 8514802.5 4.19  3.44  4.2689
Bolsonaro 01/02/2020 8532294.3 4.00  3.46  4.4981
Bolsonaro 01/03/2020 8553738.1 3.30  3.13  5.1981
Bolsonaro 01/04/2020 8517237.5 2.40  2.50  5.4264
Bolsonaro 01/05/2020 8492924.3 1.88  2.67  5.4257
Bolsonaro 01/06/2020 8468552.5 2.13  3.22  5.4754
Bolsonaro 01/07/2020 8435375.0 2.31  3.20  5.2027
Bolsonaro 01/08/2020 8408211.5 2.44  3.14  5.4707
Bolsonaro 01/09/2020 8373077.8 3.14  3.37  5.6401
Bolsonaro 01/10/2020 8314592.5 3.92  3.92  5.7712
Bolsonaro 01/11/2020 8272563.9 4.31  4.11  5.3311
Bolsonaro 01/12/2020 8218937.4 4.52  4.10  5.1961
Bolsonaro 01/01/2021 8249909.8 4.56  3.57  5.4753
Bolsonaro 01/02/2021 8251792.2 5.20  3.99  5.5296
Bolsonaro 01/03/2021 8291325.6 6.10  4.50  5.6967
Bolsonaro 01/04/2021 8433419.5 6.76  4.10  5.4030
Bolsonaro 01/05/2021 8517358.2 8.06  4.45  5.2316
Bolsonaro 01/06/2021 8597966.8 8.35  4.47  5.0016
Bolsonaro 01/07/2021 8635896.0 8.99  4.89  5.1210
Bolsonaro 01/08/2021 8681782.1 9.68  4.82  5.1427
Bolsonaro 01/09/2021 8682559.6 10.25 5.35  5.4388
Bolsonaro 01/10/2021 8659690.0 10.67 5.51  5.6424
Bolsonaro 01/11/2021 8663367.2 10.74 5.89  5.6193
Bolsonaro 01/12/2021 8674463.1 10.06 5.90  5.5799
